HOECHST0,HOECHST1,HOECHST2,HOECHST3,HOECHST4,HOECHST5,HOECHST6,HOECHST7,HOECHST8,HOECHST9,A488_0,A488_1,Ki67,CD45RB,CD4,CD163,CD11b,IBA1,CD19,LaminAC,A555_0,LAG3,Keratin,CD3,CD45,CD68,FOXP3,ASMA,GFAP,BANF1,A647_0,Arl13b,PD1,PDL1,CD8A,CD14,CD21,CD20,gTubulin,LaminB,AREA,CIRC,X,Y,frame,COLS,ROWS,Xt,Yt
18063.401,19532.901,11133.247,6824.28,2740.905,2137.692,34049.714,11443.407,4556.822,7593.149,520.099,1398.299,331.617,440.014,1495.319,6661.716,1929.222,3336.863,201.55,281.107,176.783,1286.083,245.441,137.582,409.742,558.768,202.581,88.018,4806.316,172.015,67.58,1818.107,1535.359,328.268,8411.403,7990.151,3074.781,133.017,339.243,10473.806,97.809,0.745,97.806,20.68,1,1,1,97.806,20.68
14774.179,17571.556,11081.095,6527.973,2621.129,2158.719,32788.013,12076.928,3184.812,6702.672,361.511,926.176,206.984,717.595,2035.186,21281.722,2912.916,5363.539,134.409,693.405,149.108,664.231,163.186,130.76,473.728,7701.647,211.057,161.971,5737.912,153.952,58.122,1049.267,851.543,176.435,3045.079,11280.884,1535.771,106.9,94.83,8277.02,58.939,0.84,366.585,20.192,1,1,1,366.585,20.192
12789.602,15049.021,8738.213,5767.711,2445.294,1962.195,30573.728,9867.503,8079.867,10465.086,273.313,846.313,246.301,681.066,2804.234,22923.707,2153.873,6154.711,180.406,178.133,101.687,1537.374,114.3,124.501,477.817,6576.559,136.608,139.763,2938.971,262.357,58.09,1641.497,1417.772,257.299,5886.775,12208.933,2834.561,135.139,477.207,9765.957,100.661,0.855,26.099,39.01,1,1,1,26.099,39.01
15183.843,17265.176,10273.395,6585.223,2715.488,2219.469,34397.209,11556.879,9346.882,11838.483,427.03,1050.479,334.628,765.722,4175.122,36042.532,3327.817,11418.123,526.021,1214.573,146.907,2090.466,236.588,210.082,850.604,10596.388,243.021,248.835,17857.443,346.469,64.963,2352.974,2074.36,461.901,1915.929,18534.755,4258.955,192.18,564.837,10110.318,162.346,0.838,202.85,45.697,1,1,1,202.85,45.697
13161.53,15860.867,9320.081,5916.274,2328.586,2041.516,31715.808,9731.163,7153.889,8273.475,365.956,1007.602,300.179,639.339,2339.006,20538.48,2948.272,7608.16,384.821,384.993,143.978,1896.503,586.21,213.023,471.819,1176.849,216.574,184.985,14713.634,220.838,61.041,1462.618,1448.056,362.736,3679.907,13494.728,4052.718,142.039,392.356,6935.336,87.352,0.837,337.569,44.377,1,1,1,337.569,44.377
17625.786,20705.295,12516.282,7794.066,3151.085,2652.982,35678.057,12682.792,9550.439,11827.429,480.473,1105.549,320.888,756.49,2833.188,22216.628,3044.244,7387.309,457.301,1156.196,149.975,1139.341,236.305,197.552,704.12,16543.658,215.601,145.988,14473.919,251.45,66.831,1296.609,1384.144,345.636,3915.366,20222.931,3307.48,192.124,533.064,10409.656,109.322,0.864,303.084,45.269,1,1,1,303.084,45.269
11846.023,14342.232,8502.21,5317.698,2208.805,1815.88,28425.053,9416.15,7719.544,9893.678,335.626,895.995,259.756,725.269,3849.021,33239.463,3138.962,12272.195,356.338,792.456,120.005,1310.283,219.28,171.517,1005.588,7247.984,184.599,156.731,7125.889,280.765,61.267,1672.125,1675.442,301.851,6134.846,29022.387,3511.013,230.507,576.949,7585.023,103.935,0.896,258.099,49.593,1,1,1,258.099,49.593
13841.819,15516.549,8792.176,5875.441,2246.189,1972.894,29374.266,9031.685,6730.147,8012.273,479.564,1142.985,310.714,690.372,1878.392,18207.383,2620.379,6393.22,518.06,365.603,165.363,1411.991,1094.28,181.097,521.397,6150.227,161.269,227.258,22474.96,211.035,69.725,1714.311,1229.892,465.375,6574.974,6256.993,2851.94,256.104,272.429,8932.676,57.671,0.901,226.254,49.487,1,1,1,226.254,49.487
13853.563,16468.837,10105.461,6368.526,2600.874,2143.718,33286.539,10613.822,7654.403,9333.204,365.613,886.011,252.935,556.141,2023.539,17329.505,1610.417,5369.456,291.485,1291.343,114.765,790.131,75.981,149.168,440.604,3184.495,179.9,83.409,4131.919,167.403,60.414,1280.212,1404.73,269.924,5615.348,17078.733,2305.85,129.435,382.594,7830.162,65.276,0.904,299.078,51.597,1,1,1,299.078,51.597
17191,18795.177,10952.557,7243.277,2784.092,2385.261,33757.203,11149.75,8695.209,10526.901,540.535,1352.643,445.164,1181.225,5396.904,47296.097,6739.245,20090.054,413.245,302.341,180.311,2660.058,152.319,241.541,1254.828,23252.842,255.144,163.952,5257.813,332.836,80.279,1929.341,2350.255,352.436,4732.54,19193.602,3292.357,257.367,752.625,14359.864,107.949,0.875,210.447,52.767,1,1,1,210.447,52.767
20590.858,22820.906,13403.437,8405.798,3501.319,2824.927,38271.605,14988.945,12128.637,15177.52,325.502,1048.502,347.132,1654.306,4951.674,40754.025,5327.824,13401.888,337.494,376.488,121.421,1763.793,78.309,197.215,1262.964,21267.978,219.292,56.284,460.24,386.882,53.345,2009.887,2014.856,229.986,1849.898,12340.986,2810.181,142.605,588.524,19757.495,132.243,0.887,159.58,55.86,1,1,1,159.58,55.86
17751.58,20668.699,12126.435,7772.917,3100.203,2595.477,37465.392,12285.494,9606.217,11008.296,359.688,976.47,261.731,541.233,3394.589,18580.067,1915.179,4086.091,254.151,13846.794,120.044,1672.881,73.519,185.216,405.754,4397.717,199.984,632.103,6429.198,431.266,57.779,1658.326,2068.908,215.953,5546.56,11605.199,2810.376,212.022,384.242,13814.076,81.648,0.85,255.116,75.205,1,1,1,255.116,75.205
19659.952,22364.013,13247.074,8384.282,3351.903,2823.029,39270.957,13908.891,10753.848,13129.965,416.247,1046.724,348.682,1096.775,10998.456,48572.545,5500.668,21042.315,330.753,637.762,131.04,2017.445,1009.7,210.492,2376.066,11366.706,210.491,105.609,10917.523,290.633,67.251,1950.592,2355.351,282.424,3351.947,39758.509,3233.168,200.953,646.107,15046.659,119.145,0.91,214.546,77.638,1,1,1,214.546,77.638
14354.665,16146.131,9602.818,6062.806,2444.26,1975.124,26872.036,10573.987,8690.646,11765.067,481.997,1561.517,414.074,764.57,3597.21,37264.012,3130.445,8276.223,528.421,586.688,160.941,1611.69,239.96,239.76,776.221,2070.415,175.49,201.291,12082.27,280.199,66.671,1334.274,1188.243,299.364,6535.946,23786.215,3749.615,159.721,489.25,11372.629,100.978,0.893,104.567,77.739,1,1,1,104.567,77.739
13600.546,16461.504,9950.274,6297.883,2615.717,2106.839,32508.355,10988.561,9019.622,11440.278,364.522,987.848,261.303,635.192,3768.791,32042.934,2347.925,6933.454,446.596,3139.378,121.788,1392.992,257.341,183.295,650.536,8843.193,188.121,221.183,16779.487,317.393,62.706,1285.794,1507.914,288.218,2111.649,17699.149,2621.236,169.723,516.594,9772.693,138.263,0.871,260.724,80.555,1,1,1,260.724,80.555
15594.818,18666.773,10999.741,6875.83,2851.406,2290.746,34895.821,12051.101,9937.231,12525.371,344.667,954.142,295.813,978.271,7017.266,47693.348,4327.544,14923.088,272.225,1273.475,111.936,1493.719,867.176,171.132,1436.096,9253.414,185.164,286.288,9450.011,335.944,60.011,1292.025,1679.262,214.83,3205.452,39059.507,2745.046,194.093,615.303,14073.683,101.294,0.882,224.886,80.93,1,1,1,224.886,80.93
18443.99,21676.642,12994.79,8140.898,3211.464,2619.064,39014.947,14149.069,12096.149,14495.158,587.426,1467.667,421.56,1326.002,8534.955,51748.591,5534.572,18691.151,306.065,1350.387,170.42,1833.808,363.946,236.368,2108.522,15527.241,247.202,70.449,1279.45,376.77,74.144,1730.307,2061.746,185.862,4263.89,42048.814,2784.511,199.364,464.279,17065.949,87.352,0.876,218.79,83.124,1,1,1,218.79,83.124
12383.825,14973.42,9021.188,5786.821,2316.348,2021.672,29308.718,9512.558,7364.995,9004.63,475.188,1240.706,380.553,895.804,3908.858,27816.516,3346.682,8422.367,456.979,1780.861,169.131,2284.872,221.863,244.323,740.818,6869.541,234.804,191.29,20725.009,224.571,64.412,1655.454,1891.682,463.737,5669.471,14843.922,5356.587,216.966,376.333,8951.442,80.803,0.887,328.898,114.218,1,1,1,328.898,114.218
13798.445,16399.762,9615.479,6336.044,2452.235,2134.592,31108.888,9592.227,7127.961,8687.235,428.83,1138.256,352.353,649.226,3258.368,16754.895,2196.977,6142.789,488.388,981.661,158.753,1788.88,335.574,252.518,782.833,4041.862,191.707,342.363,25312.951,202.637,70.08,1745.805,1556.632,442.865,1975.004,21430.728,4668.491,152.081,563.534,7363.562,79.536,0.842,294.689,118.314,1,1,1,294.689,118.314
9340.048,11914.717,7141.059,4432.775,1874.515,1486.368,22854.698,7425.901,5926.28,7699.266,460.752,1314.065,382.892,999.651,3236.573,31611.553,4562.088,7725.894,394.244,400.931,166.372,2171.257,210.689,237.054,944.186,18471.062,227.315,111.957,2943.072,249.127,79.472,1668.016,1544.698,290.369,6211.05,13558.358,4617.846,194.418,433.117,8206.839,83.866,0.917,220.005,121.535,1,1,1,220.005,121.535
18206.819,20789.164,12303.111,7983.264,3375.305,2743.461,37726.496,12541.087,9482.281,9819.655,411.215,866.712,252.186,524.22,2562.754,15455.932,1218.754,2331.205,255.156,376.751,135.496,2105.668,124.072,125.852,556.472,2151.311,99.524,116.979,4575.451,845.981,68.035,1119.819,966.889,242.361,5895.73,9309.015,2018.993,238.341,292.825,13447.267,113.23,0.91,24.576,127.416,1,1,1,24.576,127.416
18171.256,21492.75,13070.984,8247.422,3411.867,2775.441,33016.359,14278.857,11839.057,15053.551,390.788,1007.273,311.778,742.569,3289.341,19826.343,2255.439,2866.235,351.29,181.753,144.07,2043.15,196.643,185.143,698.36,5323.507,193.727,138.173,8782.016,360.348,61.757,1147.046,1106.716,375.215,5870.166,14394.601,3476.216,250.047,370.723,14209.78,147.347,0.881,175.375,153.674,1,1,1,175.375,153.674
10660.386,13290.328,7966.753,4860.504,2129.971,1675.211,26981.491,8512.702,7003.386,9066.269,301.004,1081.212,377.132,584.732,2429.706,6809.878,2137.001,5109.868,509.305,14844.758,115.292,1608.772,282.468,201.089,499.454,289.063,190.971,1308.054,17990.118,475.672,68.481,2245.862,1743.74,679.479,5315.902,9621.956,5778.093,160.311,434.556,683.057,118.828,0.916,144.625,155.525,1,1,1,144.625,155.525
19745.803,22295.528,13948.343,8794.456,3613.735,2962.657,30463.155,15572.973,13026.038,17123.248,455.929,1518.23,435.092,763.965,3564.331,20749.334,2017.824,7911.036,401.79,1086.784,152.213,1893.439,107.696,197.071,717.875,4141.39,193.801,74.547,2402.992,460.73,69.076,1855.99,1808.877,356.48,10482.86,8804.348,3428.796,356.1,519.676,14640.886,139.108,0.907,123.05,159.305,1,1,1,123.05,159.305
13334.246,16466.233,7837.622,4362.602,2532.658,2054.191,28915.606,11738.2,9329.497,12677.584,353.225,682.814,135.383,573.382,4803.487,37991.648,2968.207,8939.356,208.562,3141.733,124.776,938.466,30.272,91.492,1221.666,5939.101,128.261,483.589,912.446,240.47,58.257,862.626,597.65,80.533,253.492,31866.235,1591.021,102.163,339.547,11259.514,110.484,0.895,402.472,163.656,1,1,1,402.472,163.656
16740.017,19693.267,12126.793,7565.026,3215.739,2576.666,31491.762,12976.959,10727.025,13725.537,349.316,911.679,310.231,579.328,3537.351,38738.394,1758.546,8874.466,254.579,553.317,125.407,1429.619,80.916,175.382,502.994,6556.557,173.275,79.573,1625.201,269.671,64.446,1740.62,1695.67,225.805,1105.024,14906.325,2333.05,151.524,455.507,12891.223,121.574,0.908,168.654,169.165,1,1,1,168.654,169.165
13794.511,17265.773,10291.92,6533.306,2654.137,2196.366,31458.682,10687.349,8040.451,11822.227,413.077,1179.07,355.904,644.821,3097.842,21473.972,2665.024,6246.189,466.477,1396.178,141.943,1699.657,304.348,211.183,493.532,1789.584,201.442,272.678,18205.056,433.902,72.7,1709.974,1768.475,378.794,4618.68,15368.509,4834.387,197.278,527.524,13316.119,152.628,0.829,259.838,178.069,1,1,1,259.838,178.069
11423.496,14761.926,8844.01,5516.725,2299.431,1845.976,28097.12,9742.754,7953.823,10383.224,559.509,1385.819,405.832,1005.104,6993.738,46192.101,3433.489,11387.399,624.987,699.874,169.741,2094.397,494.773,233.096,1104.474,7760.053,191.833,219.904,29156.133,305.542,75.616,1771.825,1661.441,504.372,4503.828,30281.881,4338.343,297.704,475.599,7043.776,101.928,0.918,250.474,188.541,1,1,1,250.474,188.541
13911.054,16438.755,9915.471,6186.793,2680.178,2144.462,31441.923,10862.358,9111.085,12120.505,280.236,1124.961,384.14,936.413,3825.831,33006.502,4267.509,10047.849,411.787,531.44,117.212,2748.361,139.621,192.48,662.799,37050.208,197.171,72.199,8744.679,472.662,72.176,2727.644,2281.03,276.241,3260.278,14833.59,3440.768,162.37,629.026,14310.765,122.736,0.888,86.654,192.786,1,1,1,86.654,192.786
13378.617,16598.132,10027.706,6374.247,2642.27,2088.221,29824.213,10805.239,8920.705,11689.622,384.079,1342.224,387.705,1401.189,3804.805,35770.035,4674.198,8536.433,383.43,1728.383,136.755,2375.331,198.574,203.81,797.592,35928.488,222.114,74.149,6173.108,394.754,71.299,1755.718,1775.334,232.239,4299.983,11721.363,2678.693,165.813,666.071,14360.783,123.687,0.9,206.792,202.916,1,1,1,206.792,202.916
13159.833,16691.136,9956.238,6319.348,2622.055,2157.929,30098.989,11071.336,8361.488,10654.406,268.469,696.593,185.786,450.355,2063.503,22136.677,3270.737,6572.76,452.778,517.896,107.834,1235.49,340.587,152.809,560.552,4534.127,178.508,302.788,25835.81,218.156,61.284,1415.284,1244.496,361.973,563.704,11696.759,3467.516,193.793,455.577,9724.318,110.695,0.924,394.97,205.654,1,1,1,394.97,205.654
