,cluster
cell_0,Cluster 11
cell_1,Cluster 11
cell_2,Cluster 11
cell_3,Cluster 11
cell_4,Cluster 11
cell_5,Cluster 11
cell_6,Cluster 11
cell_7,Cluster 11
cell_8,Cluster 11
cell_9,Cluster 11
cell_10,Cluster 11
cell_11,Cluster 12
cell_12,Cluster 4
cell_13,Cluster 11
cell_14,Cluster 11
cell_15,Cluster 4
cell_16,Cluster 4
cell_17,Cluster 11
cell_18,Cluster 11
cell_19,Cluster 11
cell_20,Cluster 11
cell_21,Cluster 11
cell_22,Cluster 12
cell_23,Cluster 11
cell_24,Cluster 0
cell_25,Cluster 4
cell_26,Cluster 11
cell_27,Cluster 11
cell_28,Cluster 11
cell_29,Cluster 11
cell_30,Cluster 12
cell_31,Cluster 11
cell_32,Cluster 11
cell_33,Cluster 11
cell_34,Cluster 11
cell_35,Cluster 11
cell_36,Cluster 11
cell_37,Cluster 11
cell_38,Cluster 11
cell_39,Cluster 11
cell_40,Cluster 11
cell_41,Cluster 11
cell_42,Cluster 12
cell_43,Cluster 11
cell_44,Cluster 11
cell_45,Cluster 11
cell_46,Cluster 4
cell_47,Cluster 11
cell_48,Cluster 11
cell_49,Cluster 11
cell_50,Cluster 11
cell_51,Cluster 4
cell_52,Cluster 11
cell_53,Cluster 11
cell_54,Cluster 11
cell_55,Cluster 11
cell_56,Cluster 3
cell_57,Cluster 0
cell_58,Cluster 4
cell_59,Cluster 11
cell_60,Cluster 0
cell_61,Cluster 11
cell_62,Cluster 11
cell_63,Cluster 8
cell_64,Cluster 4
cell_65,Cluster 4
cell_66,Cluster 11
cell_67,Cluster 12
cell_68,Cluster 11
cell_69,Cluster 4
cell_70,Cluster 4
cell_71,Cluster 11
cell_72,Cluster 4
cell_73,Cluster 4
cell_74,Cluster 11
cell_75,Cluster 11
cell_76,Cluster 4
cell_77,Cluster 11
cell_78,Cluster 0
cell_79,Cluster 11
cell_80,Cluster 12
cell_81,Cluster 4
cell_82,Cluster 4
cell_83,Cluster 11
cell_84,Cluster 4
cell_85,Cluster 12
cell_86,Cluster 4
cell_87,Cluster 5
cell_88,Cluster 11
cell_89,Cluster 4
cell_90,Cluster 8
cell_91,Cluster 4
cell_92,Cluster 4
cell_93,Cluster 11
cell_94,Cluster 11
cell_95,Cluster 4
cell_96,Cluster 12
cell_97,Cluster 4
cell_98,Cluster 4
cell_99,Cluster 11
cell_100,Cluster 4
cell_101,Cluster 12
cell_102,Cluster 11
cell_103,Cluster 7
cell_104,Cluster 4
cell_105,Cluster 4
cell_106,Cluster 4
cell_107,Cluster 12
cell_108,Cluster 4
cell_109,Cluster 4
cell_110,Cluster 0
cell_111,Cluster 4
cell_112,Cluster 4
cell_113,Cluster 0
cell_114,Cluster 0
cell_115,Cluster 4
cell_116,Cluster 4
cell_117,Cluster 4
cell_118,Cluster 11
cell_119,Cluster 11
cell_120,Cluster 4
cell_121,Cluster 4
cell_122,Cluster 4
cell_123,Cluster 11
cell_124,Cluster 4
cell_125,Cluster 4
cell_126,Cluster 4
cell_127,Cluster 4
cell_128,Cluster 11
cell_129,Cluster 4
cell_130,Cluster 2
cell_131,Cluster 2
cell_132,Cluster 4
cell_133,Cluster 11
cell_134,Cluster 12
cell_135,Cluster 4
